range,canyon,point,UTMx,UTMy
East Tintic,Barlow,BK01,398835,4434594
East Tintic,Barlow,BK02,398595,4434393
East Tintic,Barlow,BK03,398290,4434191
East Tintic,Barlow,BK04,398002,4434042
East Tintic,Barlow,BK05,397694,4433942
East Tintic,Barlow,BK06,397340,4433896
East Tintic,Barlow,BK07,396775,4433769
East Tintic,Barlow,BK08,396452,4433812
East Tintic,Barlow,BK09,396146,4433950
East Tintic,Barlow,BK10,395868,4433775
,,,,
East Tintic,Black Rock,BR01,399192,4431236
East Tintic,Black Rock,BR02,398845,4431358
East Tintic,Black Rock,BR03,398603,4431586
East Tintic,Black Rock,BR04,398352,4431806
East Tintic,Black Rock,BR05,398645,4431995
East Tintic,Black Rock,BR06,398831,4432242
East Tintic,Black Rock,BR07,399144,4432364
East Tintic,Black Rock,BR08,399417,4432590
East Tintic,Black Rock,BR09,399489,4432928
East Tintic,Black Rock,BR10,398060,4432028
East Tintic,Black Rock,BR11,397734,4432081
East Tintic,Black Rock,BR12,397416,4432066
East Tintic,Black Rock,BR13,397059,4432104
East Tintic,Black Rock,BR14,396750,4432140
East Tintic,Black Rock,BR15,396402,4432172
East Tintic,Black Rock,BR16,396035,4432095
East Tintic,Black Rock,BR17,395656,4432110
East Tintic,Black Rock,BR18,395367,4432238
East Tintic,Black Rock,BR19,394971,4432218
East Tintic,Black Rock,BR20,394590,4432735
,,,,
East Tintic,Mill,ML01,398108,4430220
East Tintic,Mill,ML02,397787,4430286
East Tintic,Mill,ML03,397461,4430250
East Tintic,Mill,ML04,397142,4430243
East Tintic,Mill,ML05,396624,4430484
East Tintic,Mill,ML06,396311,4430513
East Tintic,Mill,ML07,395981,4430569
East Tintic,Mill,ML08,395590,4430682
East Tintic,Mill,ML09,395260,4430955
East Tintic,Mill,ML10,395006,4431159
East Tintic,Mill,ML11,394754,4431337
East Tintic,Mill,ML12,394684,4431641
East Tintic,Mill,ML13,394878,4431897
,,,,
East Tintic,Road 5,RF01,393074,4437602
East Tintic,Road 5,RF02,392915,4437210
East Tintic,Road 5,RF03,392668,4436700
East Tintic,Road 5,RF04,392420,4436158
East Tintic,Road 5,RF05,392137,4435535
East Tintic,Road 5,RF06,391928,4435077
East Tintic,Road 5,RF07,391705,4434577
East Tintic,Road 5,RF08,391554,4434191
,,,,
East Tintic,Road 2,RT01,394239,4432586
East Tintic,Road 2,RT02,393979,4432727
East Tintic,Road 2,RT03,393646,4433060
East Tintic,Road 2,RT04,393353,4433212
East Tintic,Road 2,RT05,392945,4433246
East Tintic,Road 2,RT06,392545,4433521
East Tintic,Road 2,RT07,392112,4433711
East Tintic,Road 2,RT08,391997,4433348
East Tintic,Road 2,RT09,391669,4433896
East Tintic,Road 2,RT10,391303,4433857
East Tintic,Road 2,RT11,390876,4434198
East Tintic,Road 2,RT12,390547,4434037
East Tintic,Road 2,RT13,390430,4434361
East Tintic,Road 2,RT14,390186,4434593
East Tintic,Road 2,RT15,389837,4434714
East Tintic,Road 2,RT16,389575,4434871
East Tintic,Road 2,RT17,389515,4435194
East Tintic,Road 2,RT18,389471,4435540
East Tintic,Road 2,RT19,389545,4435858
East Tintic,Road 2,RT20,389631,4436172
East Tintic,Road 2,RT21,389756,4436517
East Tintic,Road 2,RT22,389881,4436812
East Tintic,Road 2,RT23,390068,4437142
East Tintic,Road 2,RT24,390221,4437439
,,,,
Sheeprock,Harker,SR01,372025,4426143
Sheeprock,Harker,SR01.1,371076,4426156
Sheeprock,Harker,SR01.2,371507,4426283
Sheeprock,Harker,SR02,372383,4426096
Sheeprock,Harker,SR03,372771,4426194
Sheeprock,Harker,SR04,373102,4426339
Sheeprock,Harker,SR05,373590,4426580
Sheeprock,Harker,SR06,373743,4426803
Sheeprock,Harker,SR07,374024,4427030
Sheeprock,Harker,SR08,374234,4427488
Sheeprock,Harker,SR09,374436,4427744
Sheeprock,Harker,SR10,374661,4428052
Sheeprock,Harker,SR11,374737,4428393
Sheeprock,Harker,SR12,374972,4428806
Sheeprock,Harker,SR13,375200,4429053
Sheeprock,Harker,SR14,375405,4429303
Sheeprock,Harker,SR15,375468,4429655
Sheeprock,Harker,SR16,375491,4429985
Sheeprock,Harker,SR17,375800,4430046
Sheeprock,Harker,SR18,376210,4430060
Sheeprock,Harker,SR19,376541,4430050
Sheeprock,Harker,SR20,376928,4430052
