canyon,point,UTMx,UTMy
Mud Flat,JU01,542682,4728195
Mud Flat,JU02,542951,4727989
Mud Flat,JU03,543246,4727658
Mud Flat,JU04,543612,4727529
Mud Flat,JU05,543966,4727425
Mud Flat,JU06,544279,4727272
Mud Flat,JU07,544496,4727004
Mud Flat,JU08,544796,4726861
Mud Flat,JU09,545130,4726802
Mud Flat,JU10,545464,4726882
Mud Flat,JU11,545813,4726802
,,,
Mud Flat,MF01,536970,717119
Mud Flat,MF02,537241,4717164
Mud Flat,MF03,537611,4717176
Mud Flat,MF04,537961,4717073
Mud Flat,MF05,538365,4717175
Mud Flat,MF06,538479,4717560
Mud Flat,MF07,538877,4717669
Mud Flat,MF08,539144,4717875
Mud Flat,MF09,539377,4718148
Mud Flat,MF10,539682,4718331
Mud Flat,MF11,540022,4718479
Mud Flat,MF12,540377,4718546
Mud Flat,MF13,540484,4718902
Mud Flat,MF14,540835,4718858
Mud Flat,MF15,540934,4719312
Mud Flat,MF16,541233,4719244
Mud Flat,MF17,541503,4719405
Mud Flat,MF18,541782,4719532
Mud Flat,MF19,542088,4719706
Mud Flat,MF20,542310,4719984
Mud Flat,MF21,542657,4720129
Mud Flat,MF22,543011,4720306
Mud Flat,MF23,543393,4720539
Mud Flat,MF24,543549,4720910
Mud Flat,MF25,543831,4721127
Mud Flat,MF26,543866,4721477
Mud Flat,MF27,544028,4721842
Mud Flat,MF28,544701,4722076
,,,
Mud Flat,MU01,534759,4714663
Mud Flat,MU02,534882,4715014
Mud Flat,MU03,535315,4715128
Mud Flat,MU04,535547,4715536
Mud Flat,MU05,536017,4715672
Mud Flat,MU06,536174,4715967
Mud Flat,MU07,536290,4716308
Mud Flat,MU08,536397,4716603
Mud Flat,MU09,536565,4716842
,,,
Bachman Grade,BG11,533896,4746440
Bachman Grade,BG12,533974,4746871
Bachman Grade,BG13,533871,4747236
Bachman Grade,BG14,534352,4747759
Bachman Grade,BG15,530410,4746861
Bachman Grade,BG16,530713,4746895
Bachman Grade,BG17,531080,4747118
Bachman Grade,BG18,531452,4747188
Bachman Grade,BG19,531739,4747105
Bachman Grade,BG20,532050,4747148
Bachman Grade,BG21,532364,4747151
Bachman Grade,BG22,532666,4747101
Bachman Grade,BG23,532884,4747324
Bachman Grade,BG24,533197,4747409
Bachman Grade,BG25,533633,4747511
Bachman Grade,BG26,533976,4747547
Bachman Grade,BG27,534399,4748109
Bachman Grade,BG28,534739,4747760
Bachman Grade,BG29,534990,4747937
Bachman Grade,BG30,535076,4748252
Bachman Grade,BG31,535673,4748945
Bachman Grade,BG32,535929,4749141
Bachman Grade,BG33,536224,4749307
Bachman Grade,BG34,536658,4749521
Bachman Grade,BG35,536768,4749809
Bachman Grade,BG36,536902,4750092
Bachman Grade,BG37,537263,4748829
Bachman Grade,BG38,537174,4749123
Bachman Grade,BG39,537141,4749435
Bachman Grade,BG40,537227,4749732
Bachman Grade,BG41,537199,4750046
Bachman Grade,BG42,536619,4750261
Bachman Grade,BG43,536477,4750526
Bachman Grade,BG44,536375,4750819
Bachman Grade,BG45,536061,4750786
Bachman Grade,BG46,535775,4750677
Bachman Grade,BG47,535420,4750791
,,,
Bachman Grade,NP01,538872,4755683
Bachman Grade,NP02,539201,4755834
Bachman Grade,NP03,539501,4755879
Bachman Grade,NP04,539903,4755893
Bachman Grade,NP05,540210,4755816
Bachman Grade,NP06,540546,4755848
Bachman Grade,NP07,540825,4755994
Bachman Grade,NP08,541176,4756189
